Country Name	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017
Aruba																																			0	-0.024	-0.02	0.014	0.041	0.047	0.075	0.076	0.071	0.079	0.114	0.128	0.141	0.174	0.2	0.152	0.145	0.164						
Afghanistan	0	0	-0.01	0.119	0.138	0.229	0.363	0.431	0.335	0.336	0.419	0.428	0.357	0.382	0.466	0.497	0.522	0.577	0.62	0.667	0.662	0.649																				0.293	0.497	0.521	0.564	0.621	0.658	0.791	0.795	0.872	0.966	1.004	1.048	1.024	1.01	0.979	0.973	
Angola																										0	-0.013	-0.025	-0.036	0.128	0.116	0.185	-0.158	-0.205	-0.333	-0.252	-0.09	-0.095	-0.181	-0.214	-0.055	-0.079	0.052	0.092	0.218	0.36	0.514	0.659	0.788	0.725	0.748	0.833	0.863	0.882	0.873	0.768	0.72	
Albania																									0	0	0.035	0.023	0.009	0.038	-0.016	-0.279	-0.482	-0.241	-0.03	0.059	0.198	0.053	0.115	0.219	0.249	0.301	0.341	0.455	0.562	0.611	0.656	0.735	0.819	0.793	0.79	0.825	0.806	0.823	0.839	0.773	0.794	
Andorra											0	0.033	0.114	0.217	0.29	0.345	0.344	0.379	0.45	0.562	0.582	0.505	0.472	0.393	0.377	0.38	0.505	0.59	0.645	0.67	0.765	0.78	0.802	0.707	0.7	0.755	0.768	0.753	0.765	0.774	0.83	0.836	0.883	1.005	1.075	1.105	1.13	1.176	1.168	1.126	1.088	1.103	1.073	1.098	1.115	1.046	1.057	
Arab World									0	0.03	0.061	0.114	0.177	0.269	0.538	0.569	0.65	0.699	0.725	0.842	0.962	0.961	0.916	0.875	0.867	0.848	0.814	0.835	0.816	0.824	0.95	0.932	0.954	0.947	0.946	0.964	0.998	1.014	0.989	1.017	1.065	1.049	1.043	1.087	1.146	1.225	1.289	1.345	1.438	1.364	1.424	1.488	1.518	1.523	1.524	1.46	1.442	
United Arab Emirates																0	0.048	0.097	0.021	0.091	0.197	0.219	0.169	0.109	0.077	0.041	-0.062	-0.057	-0.084	-0.052	0.011	-0.007	-0.01	-0.023	-0.019	0.004	0.032	0.041	0.001	0.027	0.095	0.068	0.071	0.097	0.134	0.171	0.202	0.205	0.236	0.095	0.12	0.182	0.2	0.212	0.223	0.168	0.151	
Argentina			0	-0.134	0.006	0.044	0.042	-0.036	-0.005	0.061	0.059	0.075	0.086	0.258	0.39	0.243	0.225	0.264	0.268	0.338	0.377	0.38	0.403	0.487	0.361	0.403	0.495	0.489	0.538	0.315	0.575	0.696	0.772	0.781	0.811	0.807	0.825	0.852	0.856	0.828	0.824	0.795	0.351	0.462	0.568	0.645	0.709	0.796	0.891	0.851	0.951	1.044	1.052	1.053	1.027	1.069	1.034	
Armenia																															0	-0.034	-0.237	-0.252	-0.203	-0.146	-0.103	-0.086	-0.02	-0.029	-0.011	0.036	0.089	0.163	0.271	0.411	0.529	0.692	0.798	0.671	0.702	0.742	0.761	0.78	0.796	0.753	0.753	
American Samoa																																											0	0.008	-0.006	-0.013	-0.015	0.011	0.052	0.139	0.072	0.073	0.124	0.121	0.122	0.132	0.131	
Antigua and Barbuda																		0	0.051	0.144	0.226	0.279	0.329	0.378	0.442	0.511	0.598	0.669	0.747	0.791	0.811	0.828	0.836	0.857	0.888	0.867	0.896	0.915	0.933	0.944	0.97	0.947	0.948	0.964	0.991	1.032	1.08	1.13	1.143	1.089	1.058	1.049	1.07	1.059	1.085	1.108	1.133	
Australia	0	0.015	0.01	0.036	0.07	0.1	0.112	0.153	0.177	0.218	0.261	0.285	0.338	0.42	0.553	0.587	0.616	0.632	0.658	0.71	0.751	0.816	0.848	0.804	0.837	0.801	0.798	0.808	0.897	0.993	1.003	1.018	1.012	0.989	1	1.051	1.083	1.114	1.072	1.055	1.078	1.032	1.045	1.112	1.226	1.274	1.3	1.355	1.438	1.373	1.457	1.536	1.572	1.573	1.536	1.494	1.44	
Austria	0	0.042	0.065	0.096	0.132	0.167	0.201	0.224	0.253	0.29	0.342	0.405	0.494	0.619	0.694	0.752	0.783	0.862	0.943	1.019	1.065	1.001	1.002	1.008	0.982	0.991	1.145	1.243	1.273	1.271	1.365	1.379	1.424	1.41	1.438	1.51	1.503	1.455	1.466	1.463	1.419	1.418	1.45	1.537	1.595	1.613	1.637	1.699	1.742	1.709	1.699	1.739	1.715	1.734	1.742	1.674	1.679	
Azerbaijan																															0	-0.01	-0.263	-0.369	-0.453	-0.494	-0.481	-0.389	-0.343	-0.334	-0.277	-0.246	-0.21	-0.147	-0.074	0.105	0.3	0.493	0.653	0.602	0.674	0.764	0.782	0.803	0.804	0.647	0.496	
Burundi	0	0.006	0.02	0.049	0.09	-0.135	-0.128	-0.106	-0.105	-0.099	-0.001	0.01	-0.005	0.082	0.132	0.212	0.231	0.308	0.345	0.442	0.501	0.513	0.521	0.539	0.487	0.541	0.547	0.508	0.476	0.476	0.472	0.476	0.434	0.363	0.35	0.377	0.31	0.354	0.312	0.262	0.286	0.279	0.24	0.205	0.258	0.33	0.372	0.385	0.445	0.464	0.516	0.568	0.576	0.604	0.647	0.63	0.608	
Belgium	0	0.025	0.052	0.081	0.125	0.158	0.186	0.214	0.241	0.285	0.339	0.386	0.48	0.587	0.655	0.723	0.757	0.822	0.909	0.969	1.006	0.923	0.867	0.844	0.824	0.839	0.982	1.077	1.111	1.115	1.211	1.22	1.265	1.245	1.281	1.35	1.337	1.293	1.302	1.3	1.26	1.258	1.293	1.382	1.446	1.462	1.484	1.542	1.58	1.546	1.542	1.573	1.545	1.563	1.57	1.501	1.51	
Benin	0	0.011	0.006	0.03	0.049	0.073	0.084	0.08	0.099	0.095	0.09	0.082	0.161	0.24	0.271	0.348	0.35	0.37	0.452	0.547	0.608	0.56	0.54	0.464	0.434	0.419	0.513	0.568	0.571	0.525	0.626	0.617	0.533	0.646	0.478	0.596	0.619	0.589	0.61	0.637	0.604	0.609	0.653	0.746	0.797	0.81	0.827	0.88	0.945	0.93	0.91	0.948	0.954	0.992	1.006	0.925	0.928	
Burkina Faso	0	0.019	0.048	0.058	0.07	0.077	0.081	0.09	0.092	0.101	0.075	0.09	0.161	0.22	0.259	0.348	0.356	0.412	0.518	0.583	0.616	0.57	0.554	0.503	0.452	0.467	0.574	0.628	0.66	0.648	0.711	0.704	0.546	0.552	0.45	0.537	0.561	0.525	0.572	0.588	0.519	0.536	0.581	0.686	0.734	0.774	0.79	0.841	0.92	0.907	0.924	0.988	0.993	1.009	1.012	0.924	0.962	
Bangladesh	0	0.039	0.05	0.057	0.049	0.076	0.1	0.137	0.136	0.177	0.192	0.171	0.02	0.122	0.305	0.487	0.193	0.162	0.288	0.345	0.399	0.435	0.385	0.351	0.371	0.43	0.408	0.444	0.472	0.495	0.525	0.506	0.507	0.517	0.515	0.556	0.635	0.642	0.649	0.651	0.66	0.656	0.654	0.688	0.715	0.737	0.745	0.785	0.841	0.885	0.931	0.974	0.984	1.03	1.087	1.134	1.185	
Bulgaria																					0	-0.001	-0.014	-0.083	-0.057	-0.068	0.004	0.145	0.049	0.043	0.024	-0.247	-0.267	-0.244	-0.29	-0.159	-0.268	-0.221	-0.102	-0.135	-0.144	-0.104	-0.031	0.083	0.179	0.24	0.304	0.423	0.511	0.493	0.485	0.542	0.517	0.535	0.545	0.494	0.523	
Bahrain																					0	0.035	0.043	0.042	0.05	0.008	-0.084	-0.054	-0.031	-0.027	-0.001	0.025	0.026	0.055	0.074	0.084	0.091	0.096	0.071	0.085	0.203	0.178	0.185	0.221	0.268	0.322	0.354	0.39	0.431	0.355	0.385	0.421	0.442	0.461	0.466	0.424	0.422	
Bosnia and Herzegovina																																			0	0.183	0.364	0.488	0.538	0.593	0.662	0.68	0.743	0.842	0.92	0.97	1.029	1.118	1.203	1.169	1.161	1.201	1.171	1.2	1.213	1.158	1.179	
Belarus																															0	-0.095	-0.104	-0.126	-0.163	-0.191	-0.166	-0.183	-0.148	-0.245	-0.222	-0.233	-0.158	-0.068	0.048	0.167	0.257	0.348	0.477	0.386	0.452	0.486	0.514	0.574	0.592	0.447	0.37	
Belize	0	0.016	0.03	0.043	0.061	0.092	0.124	0.139	0.103	0.114	0.154	0.192	0.231	0.298	0.411	0.463	0.371	0.449	0.507	0.546	0.646	0.632	0.588	0.599	0.634	0.619	0.644	0.716	0.761	0.812	0.858	0.882	0.941	0.968	0.975	0.992	0.993	0.986	0.991	1.002	1.042	1.049	1.066	1.081	1.099	1.11	1.137	1.151	1.166	1.145	1.153	1.17	1.185	1.186	1.201	1.201	1.192	
Bermuda	0	0.013	0.026	0.026	0.063	0.079	0.14	0.195	0.172	0.205	0.25	0.307	0.358	0.42	0.488	0.534	0.581	0.643	0.668	0.703	0.77	0.848	0.871	0.922	0.962	0.982	1.031	1.071	1.105	1.127	1.149	1.163	1.178	1.21	1.218	1.252	1.372	1.406	1.431	1.455	1.471	1.49	1.517	1.54	1.568	1.6	1.644	1.679	1.692	1.667	1.666	1.655	1.652	1.653				
Bolivia	0	0.028	0.058	0.082	0.125	0.165	0.195	0.224	0.139	0.156	0.17	0.193	0.244	0.237	0.448	0.498	0.544	0.606	0.663	0.724	0.726	0.83	0.798	0.775	0.822	0.754	0.612	0.644	0.66	0.662	0.668	0.7	0.715	0.713	0.723	0.764	0.798	0.819	0.841	0.822	0.819	0.798	0.777	0.779	0.807	0.836	0.908	0.959	1.056	1.066	1.113	1.192	1.239	1.286	1.311	1.304	1.308	
Brazil	0	-0.011	0.093	0.143	0.094	0.094	0.176	0.217	0.25	0.283	0.325	0.379	0.444	0.565	0.677	0.738	0.819	0.871	0.917	0.956	0.965	1.005	1.023	0.872	0.874	0.893	0.964	0.996	1.038	1.14	1.168	1.276	1.091	1.122	1.221	1.362	1.39	1.399	1.383	1.217	1.25	1.175	1.127	1.163	1.236	1.356	1.445	1.541	1.621	1.609	1.727	1.797	1.767	1.764	1.757	1.62	1.614	
Barbados																															0	-0.005	-0.019	0	0.02	0.04	0.067	0.089	0.14	0.158	0.172	0.17	0.176	0.189	0.219	0.262	0.298	0.323	0.33	0.311	0.312	0.329	0.327	0.322	0.32	0.317	0.31	
Brunei Darussalam						0	0.045	0.045	0.087	0.068	0.093	0.116	0.233	0.418	0.793	0.812	0.88	0.949	0.983	1.127	1.358	1.292	1.269	1.211	1.192	1.149	0.962	1.017	0.995	1.027	1.087	1.096	1.137	1.116	1.103	1.155	1.178	1.174	1.056	1.102	1.208	1.169	1.179	1.221	1.293	1.37	1.444	1.467	1.532	1.399	1.5	1.625	1.631	1.602	1.571	1.444	1.383	
Bhutan																					0	0.021	0.017	0.053	0.051	0.046	0.099	0.183	0.218	0.195	0.226	0.147	0.153	0.132	0.199	0.249	0.264	0.319	0.321	0.355	0.363	0.386	0.426	0.478	0.519	0.575	0.605	0.72	0.733	0.727	0.817	0.87	0.863	0.85	0.878	0.896	0.922	
Botswana	0	0.023	0.047	0.065	0.091	0.121	0.159	0.203	0.243	0.296	0.377	0.483	0.584	0.738	0.821	0.87	0.873	0.941	1.04	1.166	1.261	1.251	1.211	1.259	1.269	1.208	1.291	1.428	1.544	1.598	1.676	1.681	1.691	1.681	1.68	1.716	1.717	1.723	1.694	1.745	1.761	1.732	1.721	1.856	1.926	1.965	1.967	1.993	1.986	1.951	2.039	2.12	2.083	2.082	2.111	2.051	2.077	
