Country Name	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017
Aruba																						0						
Afghanistan													0	0.022	0.019	0.062	0.085	0.14	0.153	0.228	0.256	0.278	0.33	0.331	0.33	0.328	0.331	
Angola	0	-0.005	-0.04	-0.168	-0.158	-0.119	-0.077	-0.049	-0.027	-0.019	-0.01	0.004	-0.035	-0.02	0.021	0.092	0.172	0.256	0.305	0.303	0.308	0.318	0.332	0.352	0.365	0.369	0.357	
Albania	0	-0.136	-0.156	-0.103	-0.057	0.009	0.057	0.018	0.071	0.132	0.17	0.214	0.242	0.274	0.307	0.339	0.386	0.427	0.48	0.51	0.549	0.574	0.587	0.589	0.619	0.623	0.639	
Andorra																												
Arab World	0	0.003	0.026	0.038	0.049	0.057	0.074	0.09	0.109	0.116	0.139	0.147	0.147	0.165	0.206	0.233	0.263	0.283	0.305	0.302	0.318	0.329	0.348	0.361	0.372	0.382	0.393	
United Arab Emirates	0	-0.007	-0.008	-0.017	-0.002	0.013	0.024	0.044	0.029	0.025	0.056	0.049	0.043	0.06	0.073	0.058	0.054	0.017	-0.018	-0.085	-0.105	-0.09	-0.072	-0.046	-0.027	-0.009	0.004	
Argentina	0	0.059	0.112	0.141	0.17	0.161	0.187	0.223	0.239	0.226	0.227	0.213	0.164	0.205	0.249	0.295	0.338	0.382	0.403	0.376	0.418	0.448	0.447	0.46	0.452	0.464	0.456	
Armenia	0	-0.036	-0.254	-0.273	-0.231	-0.184	-0.145	-0.118	-0.08	-0.056	-0.019	0.033	0.096	0.164	0.221	0.294	0.365	0.436	0.477	0.417	0.433	0.462	0.5	0.519	0.54	0.558	0.563	
American Samoa																												
Antigua and Barbuda	0	0.019	0.027	0.05	0.076	0.054	0.078	0.097	0.11	0.122	0.15	0.131	0.135	0.164	0.196	0.232	0.292	0.336	0.339	0.282	0.249	0.244	0.262	0.264	0.289	0.307	0.331	
Australia	0	0.011	0.02	0.043	0.063	0.082	0.104	0.122	0.144	0.163	0.181	0.198	0.218	0.233	0.256	0.273	0.296	0.323	0.334	0.365	0.353	0.381	0.389	0.419	0.427	0.427	0.43	
Austria	0	0.024	0.038	0.047	0.065	0.085	0.1	0.116	0.136	0.152	0.178	0.185	0.205	0.217	0.239	0.255	0.286	0.306	0.327	0.323	0.335	0.359	0.378	0.391	0.401	0.411	0.415	
Azerbaijan	0	0.004	-0.104	-0.215	-0.307	-0.357	-0.348	-0.32	-0.278	-0.245	-0.193	-0.145	-0.098	-0.047	0.003	0.114	0.252	0.355	0.399	0.432	0.453	0.456	0.468	0.494	0.505	0.51	0.497	
Burundi	0	0.025	0.03	0.004	-0.012	-0.045	-0.079	-0.084	-0.064	-0.069	-0.071	-0.063	-0.049	-0.059	-0.041	-0.038	-0.017	0	0.016	0.019	0.027	0.04	0.052	0.066	0.08	0.055	0.044	
Belgium	0	0.02	0.035	0.039	0.061	0.079	0.086	0.105	0.116	0.135	0.173	0.189	0.21	0.218	0.235	0.249	0.275	0.293	0.308	0.307	0.33	0.342	0.353	0.365	0.377	0.386	0.394	
Benin	0	0.017	0.024	0.044	0.047	0.067	0.08	0.098	0.107	0.123	0.145	0.164	0.177	0.187	0.205	0.213	0.23	0.255	0.272	0.273	0.275	0.284	0.3	0.325	0.348	0.35	0.361	
Burkina Faso	0	0.04	0.039	0.052	0.055	0.076	0.118	0.139	0.163	0.188	0.193	0.218	0.231	0.26	0.278	0.315	0.341	0.363	0.389	0.392	0.407	0.431	0.453	0.471	0.484	0.494	0.512	
Bangladesh	0	0.018	0.041	0.062	0.078	0.1	0.117	0.135	0.152	0.17	0.194	0.217	0.232	0.253	0.28	0.314	0.35	0.385	0.414	0.434	0.458	0.489	0.519	0.547	0.575	0.603	0.634	
