CATEGORY,YEAR,INDICATOR,SOURCE,DESCRIPTION,UNIT,MAP,GRAPH,FILE,OPTIONS,TYPE,European Union (28 countries),Belgium,Bulgaria,Czech Republic,Denmark,Germany,Estonia,Ireland,Greece,Spain,France,Croatia,Italy,Cyprus,Latvia,Lithuania,Hungary,Malta,Netherlands,Austria,Poland,Portugal,Romania,Slovenia,Slovakia,Finland,Sweden,United Kingdom,Iceland,Norway,Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ES kainos - BVP,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,GDPpercapitaPPS,,,,,mn=[3900] mx=[49900],,,,25500,30400,12100,20300,32100,31300,18000,33200,19200,24400,27500,15600,25200,23500,15900,17900,16700,22100,32800,33300,16800,19200,12500,20900,19100,29100,32700,28300,28500,49900,40800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,PriceLevel,,,,,mn=[21] mx=[180],,,,100,110.9,45.1,70.4,136.5,103.4,71.4,108.6,89.3,91.2,112,65.4,100.4,87.8,66.8,60.3,57.5,74.6,109.9,109.9,57.8,80.6,48.4,80.3,67.8,120.8,133.1,113.3,112.2,156.1,153.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,LOG(GDPpercapitaPPS),,,,,mn=[3.6] mx=[4.7],,,,4.40654018,4.482873584,4.08278537,4.307496038,4.506505032,4.495544338,4.255272505,4.521138084,4.283301229,4.387389826,4.439332694,4.193124598,4.401400541,4.371067862,4.201397124,4.252853031,4.222716471,4.344392274,4.515873844,4.522444234,4.225309282,4.283301229,4.096910013,4.320146286,4.281033367,4.463892989,4.514547753,4.451786436,4.45484486,4.698100546,4.610660163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,LOG(PriceLevel),,,,,mn=[1.3] mx=[2.3],,,,2,2.044931546,1.654176542,1.847572659,2.135132651,2.014520539,1.853698212,2.035829825,1.950851459,1.959994838,2.049218023,1.815577748,2.001733713,1.943494516,1.824776462,1.780317312,1.759667845,1.872738827,2.040997692,2.040997692,1.761927838,1.906335042,1.684845362,1.904715545,1.831229694,2.082066934,2.124178055,2.05422991,2.049992857,2.193402903,2.186673867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,GDP2012/GDP1995,,,,,mn=[1] mx=[3.5],,,,1.746575342,1.608465608,2.630434783,1.8125,1.663212435,1.656084656,3.396226415,2.184210526,1.745454545,1.820895522,1.617647059,2.328358209,1.415730337,1.8359375,3.456521739,3.442307692,2.226666667,1.687022901,1.812154696,1.69035533,2.666666667,1.699115044,2.604166667,1.917431193,2.728571429,1.841772152,1.786885246,1.674556213,1.462,2.52,1.782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,,,,,,,25100,29800,11600,20100,31500,30500,17200,32600,19900,24300,27300,15200,25100,23700,14700,16700,16300,21900,32700,32400,16200,19600,11900,21000,18500,28700,31700,27700,28100,46900,39500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,,,,,,,100,111.5,44.9,72.8,137.2,103.5,69.7,110,92.2,93.8,112.3,67.9,102.2,89.4,65.3,60.4,58.8,74.2,110.6,110.3,58.8,83.4,50.6,83.1,67.6,120.6,129.9,106.9,110,153.1,155.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,,,,,,,4.399673721,4.474216264,4.064457989,4.303196057,4.498310554,4.484299839,4.235528447,4.5132176,4.298853076,4.385606274,4.436162647,4.181843588,4.399673721,4.374748346,4.167317335,4.222716471,4.212187604,4.340444115,4.514547753,4.51054501,4.209515015,4.292256071,4.075546961,4.322219295,4.267171728,4.457881897,4.501059262,4.442479769,4.44870632,4.671172843,4.596597096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,,,,,,,2,2.047274867,1.652246341,1.862131379,2.137354111,2.01494035,1.843232778,2.041392685,1.964730921,1.972202838,2.050379756,1.831869774,2.009450896,1.951337519,1.814913181,1.781036939,1.769377326,1.870403905,2.043755127,2.042575512,1.769377326,1.921166051,1.704150517,1.919601024,1.829946696,2.081347308,2.113609151,2.028977705,2.041392685,2.184975191,2.191730393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,,,,,,,0.242187325,0.206411779,0.420027539,0.258278015,0.220947723,0.219082533,0.530996636,0.339294496,0.241908544,0.260285028,0.208883772,0.367049796,0.150980538,0.263857893,0.538639293,0.536849687,0.347655208,0.227120978,0.258195269,0.227978007,0.425968732,0.230222785,0.415668776,0.282719788,0.435935327,0.265235902,0.252096663,0.223899731,0.164810249,0.401435355,0.250824681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,,,,,,,24400,29100,10700,19500,31300,29000,15500,31300,21200,24200,26500,14300,24700,23600,13200,15000,15800,21400,32000,31100,15300,19700,11400,20500,17900,27700,30200,27500,27300,44300,37600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,,,,,,,100,111,44.4,72.4,136.6,104.5,68.7,110.6,92,94.1,112.4,70.4,102.3,88.8,63.9,59.1,59.7,73.1,111.4,110.4,59.8,82.9,49.6,84.1,66.9,119.5,123.7,105.7,106.8,147.7,143.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,,,,,,,4.387389826,4.463892989,4.029383778,4.290034611,4.495544338,4.462397998,4.190331698,4.495544338,4.326335861,4.383815366,4.423245874,4.155336037,4.392696953,4.372912003,4.120573931,4.176091259,4.198657087,4.330413773,4.505149978,4.492760389,4.184691431,4.294466226,4.056904851,4.311753861,4.252853031,4.442479769,4.480006943,4.439332694,4.436162647,4.646403726,4.575187845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
