CATEGORY,YEAR,INDICATOR,SOURCE,DESCRIPTION,UNIT,MAP,GRAPH,FILE,OPTIONS,TYPE,Angola,Albania,United Arab Emirates,Armenia,Antigua and Barbuda,Australia,Austria,Azerbaijan,Burundi,Belgium,Benin,Burkina Faso,Bangladesh,Bulgaria,Bahrain,Bahamas,Bosnia and Herzegovina,Belarus,Belize,Bolivia,Brazil,Barbados,Brunei Darussalam,Bhutan,Botswana,Central African Republic,Canada,Switzerland,Chile,China,Cote d'Ivoire,Cameroon,Congo Rep.,Colombia,Comoros,Cape Verde,Costa Rica,Cyprus,Czech Republic,Germany,Dominica,Denmark,Dominican Republic,Algeria,Ecuador,Egypt Arab Rep.,Eritrea,Spain,Estonia,Ethiopia,Finland,Fiji,France,Micronesia,Gabon,United Kingdom,Georgia,Ghana,Guinea,Gambia The,Guinea-Bissau,Equatorial Guinea,Greece,Grenada,Guatemala,Guyana,Hong Kong SAR China,Honduras,Croatia,Hungary,Indonesia,India,Ireland,Iceland,Israel,Italy,Jordan,Japan,Kazakhstan,Kenya,Kyrgyz Republic,Cambodia,Kiribati,St. Kitts and Nevis,Korea Rep.,Kuwait,Lao PDR,Lebanon,Liberia,St. Lucia,Sri Lanka,Lesotho,Lithuania,Luxembourg,Latvia,Macao SAR China,Morocco,Moldova,Madagascar,Mexico,Macedonia FYR,Mali,Malta,Mongolia,Mozambique,Mauritania,Mauritius,Malawi,Malaysia,Namibia,Niger,Nigeria,Nicaragua,Netherlands,Norway,Nepal,New Zealand,Oman,Pakistan,Panama,Peru,Philippines,Palau,Papua New Guinea,Poland,Portugal,Paraguay,Romania,Russian Federation,Rwanda,Saudi Arabia,Sudan,Senegal,Singapore,Solomon Islands,Sierra Leone,El Salvador,Suriname,Slovak Republic,Slovenia,Sweden,Swaziland,Seychelles,Syrian Arab Republic,Chad,Togo,Thailand,Tajikistan,Turkmenistan,Tonga,Trinidad and Tobago,Tunisia,Turkey,Tanzania,Uganda,Ukraine,Uruguay,United States,Uzbekistan,St. Vincent and the Grenadines,Venezuela RB,Vietnam,Vanuatu,Samoa,Yemen Rep.,South Africa,Congo Dem. Rep.,Zambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New category,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,PriceLevel,,,,,mn=[0.3] mx=[1.6],,,,0.912773987,0.425368644,,0.398176435,0.648333098,1.503112753,1.068278896,0.707510512,0.455341274,1.091088169,0.482877411,0.426169609,0.406344959,0.434943736,,0.704084102,0.485031354,0.43617384,,0.495745179,0.96789132,0.563171316,0.783627734,0.363984226,0.44942949,0.448332929,1.227717294,1.481304158,0.690984562,0.670579942,0.620105978,0.504790704,0.724288094,0.742415715,0.686499893,0.762588596,0.737138905,0.84731173,0.699795125,1.014982706,0.538520772,1.335600712,0.572399608,0.633122271,0.562891607,0.492274852,0.905281661,0.893327012,0.707417434,0.409073288,1.194645345,0.915974062,1.101588218,0.846581865,0.714035691,1.043719103,0.601167459,0.796885064,0.467740467,0.267205863,0.448857337,0.808127146,0.871760878,0.664962686,0.663529699,1.071728333,0.720036075,0.556468751,0.662125013,0.570638776,0.729491584,0.390553483,1.05148333,1.1269922,,0.998134573,0.813142956,1.32812976,0.88653692,0.542657603,0.489354399,0.384859193,0.663169528,0.778620438,0.733433543,,0.492201983,0.675257253,0.64763524,0.599292868,0.475639497,0.617768165,0.581890524,1.176041409,0.639481048,0.906582689,0.556014465,0.604929019,0.46488517,0.58259574,0.385761401,0.580848996,0.718129071,0.683521666,0.561091676,0.431925487,0.544852879,0.355802955,0.616606444,0.7774102,0.513227965,0.583476544,0.437763288,1.066115764,1.516727506,0.473765261,1.171634737,,0.458405577,0.583297603,0.631260797,0.596263554,0.587857649,0.766077127,0.573402562,0.794245311,0.631579526,0.531390993,0.597295332,0.465313179,0.805280232,0.730762535,0.536390419,0.850478111,0.596513216,0.474884681,0.542060456,1.075053528,0.669221294,0.800752147,1.27939779,0.58937521,0.481063953,0.615079671,0.484917756,0.555286681,0.567234915,0.397170696,0.652909438,0.920645335,0.656749009,0.439698994,0.581304906,0.386541365,0.411346839,0.52986269,0.931943207,1,0.485878991,0.589790115,0.959451768,0.463445795,0.702561454,0.805716471,0.610352142,0.667066763,0.630411357,0.872295957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,GDPpercapitaUSD,,,,,mn=[0] mx=[100000],,,,5482.428049,3999.92531,,3351.381364,12733.49043,67555.76209,46642.29033,7163.704143,251.014523,43372.37071,751.9163168,634.3209746,752.1560525,6978.053084,,21908.28046,4555.64457,6685.018749,,2575.683695,11339.52111,14917.14951,41126.61284,2398.905819,7238.019365,482.6697266,52218.99369,78924.7259,15452.1736,6091.014352,1243.986075,1166.91341,3153.739461,7747.841321,830.5196682,3695.424487,9386.304835,26070.36743,18682.81277,41862.71052,6691.714872,56325.65844,5745.779878,5347.704734,5424.633611,3256.018469,504.3021912,28624.47291,16716.67125,453.5689927,45720.76937,4467.103791,39771.84281,3154.513862,11256.52276,39093.47284,3490.245316,1604.905782,491.7899781,512.1031992,494.3146151,24035.70609,22082.88975,7266.675457,3330.52523,3583.96217,36795.81988,2322.88056,13880.53607,12530.52664,3556.785714,1489.229008,45931.72479,42416.03803,,33071.83931,4909.028094,46720.35666,12116.15461,942.5408848,1159.92974,944.4142464,1736.198171,14313.97432,22590.15825,,1417.079558,9705.392234,413.7574149,6848.237633,2923.209829,1193.039051,14183.01602,103827.9923,14007.87752,78275.14752,2902.329958,2037.557633,447.4371289,9748.868686,4565.269884,693.9843612,20847.59057,3672.96694,565.1507459,1106.136947,8119.546956,268.0539113,10432.06247,5785.748182,394.7758309,1555.360614,1753.642367,45954.73338,99557.73123,690.2053853,37749.44272,,1256.65956,9534.408425,6795.772498,2587.016762,11005.86563,2184.163461,12707.85431,20165.28612,3813.471488,9036.036168,14037.01545,619.9270577,25136.21482,1580.004017,1023.294355,51709.4533,1834.839705,634.922793,3789.567558,9376.495375,16847.36039,22000.06957,55041.15684,3041.850459,12858.1752,3289.056325,1035.257946,574.1195223,5479.76058,870.5421066,6797.734307,4493.720255,17436.50121,4236.793631,10666.05568,608.7158943,547.0062461,3866.989792,14702.80039,51748.56149,1716.526284,6515.217548,12728.72685,1755.214016,3183.155758,3619.689904,1494.432832,7507.67494,261.836335,1469.121162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,GDPpercapitaPPP_USD,,,,,mn=[0] mx=[90000],,,,6006.336864,9403.43246,41397.10297,8416.824971,19640.35226,44597.83278,43661.15489,10125.22644,551.266791,39751.48108,1557.157779,1488.423767,1851.028384,16043.57648,24590.49313,31115.99934,9392.474391,15326.50089,7936.844556,5195.579919,11715.69667,26487.76505,52482.33448,6590.686202,16104.90527,1076.587722,42533.4024,53280.56731,22362.54533,9083.203914,2006.086249,2311.677692,4354.261086,10435.98777,1209.788489,4845.895291,12733.42755,30768.33058,26697.54635,41244.75251,12426.10355,42172.52801,10038.05697,8446.559187,9637.083848,6614.228736,557.0666157,32042.54715,23630.56161,1108.771965,38271.41635,4876.888961,36104.09239,3726.176987,15764.65001,37455.93305,5805.778849,2013.973978,1051.416357,1916.511838,1101.273333,29742.48078,25331.36128,10927.94469,5019.406416,3344.095756,51102.74495,4174.323457,20963.61836,21958.77174,4875.704933,3813.124381,43682.78933,37636.49655,31868.52804,33133.64771,6037.103389,35177.55424,13666.8359,1736.897963,2370.32658,2453.921498,2618.03068,18383.76393,30800.55238,,2879.061051,14372.88114,638.8741521,11427.19696,6145.851743,1931.208371,24374.02815,88286.00037,21905.07062,86340.88043,5219.882105,3368.259032,962.4680635,16733.50493,11834.4393,1194.775865,29030.42281,5373.592563,1007.234237,2560.943916,14902.27412,753.3774169,16918.51029,7442.336343,769.2017152,2665.678047,4005.914645,43104.82496,65639.82709,1456.850982,32219.46357,,2741.370575,16345.70137,10765.39606,4338.713555,18721.99102,2851.101257,22162.18614,25389.24163,6037.99099,17004.49629,23500.9629,1332.279173,31214.24544,2162.13057,1907.741673,60800.45171,3075.941414,1337.004157,6991.042261,8721.886983,25174.57312,27474.25609,43021.14422,5161.14422,26728.61918,5347.366331,2134.914494,1033.915528,9660.478293,2191.858856,10411.45053,4881.054717,26549.71833,9635.668235,18348.4701,1574.775558,1329.793239,7298.097914,15776.49827,51748.56149,3532.826724,11046.67132,13266.66673,3787.31242,4530.786223,4492.510746,2448.476428,11254.75793,415.3420333,1684.200358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,LogPriceLevel,,,,,mn=[1.5] mx=[2.21],,,,1.960363255,1.628765472,,1.600075554,1.811798193,2.17699156,2.028684649,1.849732897,1.658337018,2.037859847,1.683836889,1.629582476,1.608894876,1.63843308,,1.847624538,1.685769814,1.639659615,,1.695258499,1.985826595,1.750640527,1.894109798,1.561082563,1.652661566,1.651600638,2.089098373,2.170644242,1.839468345,1.826450559,1.792465918,1.703111349,1.859911346,1.870647156,1.836640474,1.882290306,1.867549333,1.928043219,1.844970912,2.006458643,1.731202459,2.125676642,1.757699328,1.801487591,1.750424773,1.69220765,1.956783723,1.951010466,1.849675758,1.611801121,2.077238995,1.961883176,2.042019282,1.927668961,1.85371992,2.018583632,1.778995464,1.901395687,1.670004945,1.426845983,1.652108328,1.907479695,1.940397375,1.822797276,1.821860367,2.030084712,1.857354256,1.745440781,1.820939994,1.75636128,1.863020286,1.591680515,2.021802392,2.05192091,,1.999189099,1.910166904,2.123240508,1.947696827,1.734525892,1.689623497,1.585301864,1.821624563,1.891325799,1.865360768,,1.692143359,1.829469258,1.811330472,1.777639109,1.677277911,1.790825524,1.764841285,2.070422614,1.805827678,1.957407422,1.74508609,1.781704419,1.667345692,1.765367305,1.58631877,1.764063243,1.856202508,1.834752285,1.749033826,1.635408831,1.73627925,1.551209551,1.790008059,1.890650234,1.710310312,1.766023402,1.641239338,2.027804365,2.180907563,1.675563212,2.068792239,,1.661249893,1.765890192,1.800208819,1.775438264,1.769272174,1.884272496,1.758459629,1.89995466,1.800428043,1.725414189,1.776189121,1.667745353,1.905947038,1.863776274,1.729481012,1.92966314,1.77562007,1.67658816,1.734047726,2.031430089,1.825569751,1.903498112,2.107005596,1.770391865,1.682202816,1.788931374,1.685668087,1.744517257,1.753762955,1.598977198,1.814852946,1.964092357,1.817399426,1.643155472,1.764403988,1.587195976,1.614208165,1.72416334,1.969389447,2,1.686528121,1.770697489,1.982023147,1.665998946,1.846684319,1.906182242,1.785580473,1.824169302,1.799624029,1.940663859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,LogGDPpercapitaUSD,,,,,mn=[2.2] mx=[5.2],,,,3.738972941,3.602051882,,3.52522385,4.104947466,4.829662398,4.668779868,3.855137641,2.399698849,4.637213161,2.876169509,2.802309072,2.876307955,3.843734269,,4.340608292,3.658549833,3.82510263,,3.410892529,4.054594714,4.173685842,4.614122943,3.380013198,3.859619741,2.68365006,4.717828498,4.897213082,4.188989579,3.784689623,3.094815519,3.067038631,3.498825812,3.889180718,2.919349922,3.567664332,3.972494655,4.416147152,4.271442262,4.621827345,3.825537428,4.750706277,3.759348984,3.72816742,3.73437041,3.51268686,2.702690855,4.456737498,4.223149802,2.656643357,4.66011353,3.650026043,4.599575714,3.49893244,4.051404254,4.592104252,3.542855953,3.205449542,2.691779674,2.709357489,2.694003451,4.380856885,4.344055904,3.861335764,3.522512728,3.554363417,4.565798484,3.366026879,4.142406239,4.097969324,3.551057701,3.172961487,4.662112754,4.6275301,,4.519458349,3.690995518,4.669506149,4.083364807,2.974300198,3.064431683,2.97516253,3.239599294,4.155760234,4.353919273,,3.151394233,3.987013092,2.61674579,3.835578822,3.46585999,3.076654659,4.151768593,5.016314456,4.146372336,4.893623895,3.462746785,3.309109902,2.65073202,3.988954221,3.659466457,2.841349684,4.319055869,3.565017019,2.752164305,3.043808899,3.909531798,2.428222149,4.018370179,3.762359528,2.596350556,3.191831097,3.243941029,4.662330251,4.998074991,2.838978344,4.576910545,,3.09921764,3.979293752,3.832238832,3.412799243,4.041624206,3.339285138,4.104072227,4.304604388,3.581320504,3.955977961,4.147274778,2.792340592,4.400299879,3.198658191,3.010000578,4.713569946,3.263598129,2.802720918,3.578589654,3.972040544,4.226531866,4.342424054,4.740687553,3.48313786,4.109179339,3.517071311,3.015048573,2.759002315,3.738761584,2.939789782,3.832364186,3.652606033,4.241459344,3.627037311,4.028003846,2.784414642,2.737992285,3.587373026,4.167400061,4.713898282,3.234650458,3.813928922,4.104784967,3.244330078,3.50285789,3.558671366,3.1744764,3.875505461,2.418029913,3.167057615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,LogGDPpercapitaPPP_USD,,,,,mn=[2.5] mx=[5.0],,,,3.778609686,3.97328641,4.61696995,3.925148296,4.293149273,4.649313755,4.640095219,4.005404745,2.741361831,4.599353314,3.19233262,3.172726596,3.267413078,4.205301189,4.390767238,4.492983754,3.97278002,4.185443015,3.899647875,3.71563403,4.068768119,4.423045315,4.720013145,3.818930634,4.206958175,3.032049422,4.628730125,4.72656884,4.349521234,3.958239064,3.302349601,3.363927282,3.638914466,4.018533561,3.082709448,3.685374026,4.104945322,4.488103933,4.426471349,4.615368702,4.094334968,4.625029635,4.001649656,3.92667983,3.983945638,3.82047921,2.745907132,4.505727032,4.373474043,3.044842236,4.582874535,3.688142868,4.557556432,3.571263479,4.197684333,4.57352062,3.763860489,3.304053855,3.021774729,3.282511506,3.041895123,4.47337719,4.403658529,4.038538488,3.700652361,3.524278705,4.708444229,3.620586098,4.321466245,4.341608044,3.688037415,3.581280972,4.640310362,4.57560919,4.503362005,4.52026925,3.780828613,4.546265641,4.13566798,3.239774306,3.374808187,3.389860665,3.417974732,4.264434435,4.488558505,,3.459250874,4.157543834,2.805415318,4.057939713,3.78858208,3.285829135,4.386927308,4.945891842,4.340544658,4.936216473,3.717660694,3.527405483,2.983386328,4.223586916,4.073147687,3.077286441,4.462853361,3.730264734,3.00313048,3.408400068,4.173252548,2.877012598,4.22836212,3.871709293,2.886040244,3.425807695,3.602701691,4.634525886,4.817167428,3.163415131,4.508118305,,3.437967747,4.21340356,4.032030012,3.637360979,4.272352033,3.455012642,4.345612598,4.404649729,3.780892461,4.230563772,4.371085657,3.124595239,4.494352841,3.334881917,3.280519566,4.783906806,3.487978059,3.126132758,3.844541927,3.940610455,4.400962115,4.438925942,4.633681957,3.712745995,4.426976523,3.728139937,3.329380486,3.014485058,3.984998629,3.340812584,4.01751124,3.688513676,4.424059918,3.983881838,4.263599858,3.197218665,3.123784121,3.863209686,4.198010614,4.713898282,3.548122337,4.043231433,4.12276182,3.578331132,3.656173571,3.652489125,3.388895927,4.051336158,2.618405885,3.226393755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,,,,,,,0.9049788,0.450485321,0.971358421,0.442649185,0.65494281,1.472082081,1.175683592,0.728517077,0.45916984,1.203623156,0.499871014,0.475062098,0.422326261,0.469401717,0.942940715,0.704773256,0.514775665,0.45760877,0.621891608,0.469956104,1.09218436,0.592609754,0.785963535,0.417654171,0.502280157,0.49399678,1.245510679,1.626598056,0.691056285,0.654599055,0.673888262,0.540641493,0.806769641,0.716834652,0.736649486,0.811774576,0.717314344,0.935227342,0.785229137,1.115692104,0.54345788,1.463099472,0.571132317,0.643725906,0.549990809,0.459701868,0.831403122,0.99682706,0.751675965,0.324954953,1.303196179,0.915893776,1.202346069,0.823014905,0.783171643,1.094834279,0.594330461,0.850363278,0.44512324,0.282248068,0.501402749,0.80040278,0.991184565,0.72469422,0.659897768,1.033185761,0.702572349,0.561084239,0.711544331,0.648289462,0.759993719,0.417178852,1.161739413,1.205144938,1.08580991,1.105839744,0.789737546,1.363391618,0.875141209,0.477110495,0.472396483,0.383854057,0.682898525,0.772255498,0.751637309,1.144675186,0.474911582,0.650431873,0.644278087,0.622701252,0.512907542,0.674032239,0.631746665,1.286438613,0.692439243,0.856299028,0.609350895,0.590580951,0.484579264,0.605684712,0.422328717,0.603712111,0.775978629,0.666101275,0.541032369,0.481089403,0.613995297,0.486258976,0.628496961,0.802138212,0.547866809,0.591713741,0.42971925,1.170778789,1.624068025,0.509708374,1.166389639,0.89642631,0.460823795,0.567383585,0.606616035,0.580459921,0.586793507,0.66649642,0.633230643,0.87954686,0.647419266,0.529646037,0.592815105,0.457334218,0.811033676,0.727908393,0.580487794,0.782040894,0.541968975,0.431012853,0.54509051,0.989157036,0.738004815,0.895669728,1.376768731,0.626115147,0.479058211,,0.506761419,0.576725553,0.580529518,0.406410908,0.613580531,0.847438666,0.685896782,0.471334081,0.615074832,0.355270566,0.366271914,0.50072116,0.916748528,1,0.474334313,0.592630474,0.855892161,0.431697883,0.730205015,0.777411173,0.553466237,0.727701357,0.627242055,0.884591067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,,,,,,,5159.233666,4109.082012,39057.84011,3421.726556,12420.16276,62125.75523,49338.76066,7189.815151,246.9143271,46422.12222,745.9154748,649.92523,731.8941678,7286.643902,22466.94518,21490.35708,4754.074234,6784.711838,4720.816998,2319.608523,12575.97941,15503.32855,40244.31182,2513.936759,7697.396215,498.7800669,51554.05921,83087.05284,14512.61129,5447.341422,1241.561111,1204.698212,3414.05471,7148.863695,871.6920171,3801.449765,8660.830835,29206.5106,20580.17767,44314.96616,6780.537527,59889.0051,5492.654983,5271.590312,5035.242493,2972.583516,439.5423714,31472.5393,16808.94864,335.002886,48634.17561,4324.685529,42521.81295,3000.150055,11768.60629,39503.31463,3219.569963,1594.030809,454.0022776,517.752432,595.8292485,23473.43564,25630.79451,7766.473216,3242.690796,3258.048188,35172.51773,2261.649191,14434.70172,13783.84074,3471.434594,1533.661307,49343.5439,44030.57988,33250.0909,36147.6461,4665.94354,46134.56824,11356.58348,799.9612452,1124.077623,878.3830178,1735.554046,13198.36438,22388.39597,51496.92715,1265.709344,9148.129013,376.9284544,7023.324363,2835.991594,1243.909506,14148.39115,111812.9683,13837.60556,67359.47356,3044.107888,1970.118927,457.207965,9717.473061,4961.808783,739.1683384,21963.8116,3181.104401,511.2994942,1154.065936,8748.144166,363.6415594,10058.04302,5692.188831,388.3267312,1496.303316,1631.723928,49841.61229,99143.16512,704.1858488,36918.78818,23132.9389,1213.931385,8372.577255,6112.164626,2357.570924,10332.10326,1767.238662,13382.07215,22513.5266,3956.729482,8874.315178,13284.0326,570.1668828,24116.17413,1537.598665,1083.261675,47268.22895,1610.924286,501.0232247,3698.546188,8236.202918,17760.41438,24478.34954,56755.33193,3274.387294,12289.2563,,1006.319771,569.4697158,5192.118907,834.6405524,5724.541586,4046.11987,17686.72718,4350.335976,10604.84015,530.3948552,478.6156442,3575.507325,13723.92185,49853.68234,1544.730285,6291.264323,10727.98257,1543.02695,3252.134993,3361.961671,1361.32653,7942.834101,245.5826551,1408.561319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
